Date,Open,High,Low,Close,Adj Close,Volume
2022-03-27,1.001361,1.001816,0.998046,1.000912,1.000912,3895506145
2022-03-28,1.000917,1.001818,0.997852,0.999873,0.999873,6044972360
2022-03-29,0.999861,1.002626,0.997704,0.998623,0.998623,5775301043
2022-03-30,0.998616,1.001895,0.998039,0.999200,0.999200,5809143325
2022-03-31,0.999256,1.002153,0.998180,1.001186,1.001186,6782582380
2022-04-01,1.001286,1.002042,0.998385,0.999389,0.999389,7223143041
2022-04-02,0.999475,1.001968,0.998425,0.999487,0.999487,5895317593
2022-04-03,0.999436,1.002120,0.998072,0.999503,0.999503,4953967845
2022-04-04,0.999472,1.001932,0.998042,1.001150,1.001150,5918920482
2022-04-05,1.001134,1.001846,0.998342,0.999351,0.999351,5416144144
2022-04-06,0.999318,1.001912,0.998317,0.999169,0.999169,6214875386
2022-04-07,0.999150,1.002181,0.998260,0.999989,0.999989,4565404259
2022-04-08,1.000043,1.002416,0.997943,0.999451,0.999451,4417706795
2022-04-09,0.999458,1.001851,0.997943,0.998802,0.998802,2916229857
2022-04-10,0.998820,1.001876,0.997871,1.000741,1.000741,3126220469
2022-04-11,1.000834,1.002177,0.997799,1.001371,1.001371,5047412231
2022-04-12,1.001513,1.002117,0.998219,1.001381,1.001381,4796880096
2022-04-13,1.001405,1.001872,0.998311,1.000678,1.000678,6057649189
2022-04-14,1.000653,1.002105,0.998256,0.999120,0.999120,3712652655
2022-04-15,0.999122,1.001890,0.998135,0.998981,0.998981,2705008680
2022-04-16,0.998942,1.001781,0.998049,0.999462,0.999462,2119497366
2022-04-17,0.999428,1.002078,0.998086,0.998792,0.998792,2379796206
2022-04-18,0.998842,1.001921,0.997884,1.000703,1.000703,4794867810
2022-04-19,1.000740,1.001671,0.998308,1.000430,1.000430,4295543759
2022-04-20,1.000421,1.001602,0.998307,1.000754,1.000754,4801371988
2022-04-21,1.000721,1.002008,0.998342,1.000500,1.000500,4791525318
2022-04-22,1.000479,1.001626,0.998193,0.999258,0.999258,4330053781
2022-04-23,0.999293,1.001794,0.998525,0.998668,0.998668,2556278555
2022-04-24,0.998616,1.001544,0.998055,1.000397,1.000397,2615953094
2022-04-25,1.000378,1.001789,0.997918,0.999434,0.999434,4981854372
2022-04-26,0.999410,1.002150,0.997912,0.999019,0.999019,4937535207
2022-04-27,0.999072,1.001939,0.998122,0.999847,0.999847,4058882381
2022-04-28,0.999841,1.001851,0.998131,1.001251,1.001251,5111536143
2022-04-29,1.001227,1.002190,0.998164,0.998873,0.998873,5410035667
2022-04-30,0.998882,1.001841,0.998192,0.999381,0.999381,4034171469
2022-05-01,0.999390,1.002306,0.998224,1.001158,1.001158,4076247218
2022-05-02,1.001141,1.002215,0.998074,0.999786,0.999786,4091207060
2022-05-03,0.999782,1.001889,0.998325,0.998755,0.998755,3528620566
2022-05-04,0.998765,1.002328,0.998584,0.999468,0.999468,4710352627
2022-05-05,0.999452,1.002171,0.998043,0.999619,0.999619,5751936759
2022-05-06,0.999647,1.001958,0.997853,1.000411,1.000411,4736115059
2022-05-07,1.000404,1.007155,0.998057,0.999725,0.999725,7651705097
2022-05-08,0.999736,1.001930,0.997955,1.000291,1.000291,10452215427
2022-05-09,1.000246,1.002361,0.997820,1.000854,1.000854,8100176556
2022-05-10,1.000819,1.002232,0.998038,0.999719,0.999719,8730362344
2022-05-11,0.999599,1.004694,0.998226,1.002981,1.002981,15589615018
2022-05-12,1.002993,1.024690,1.000623,1.003663,1.003663,19141081792
2022-05-13,1.003533,1.004450,0.999215,1.001200,1.001200,9868896598
2022-05-14,1.001222,1.003505,0.999192,1.000330,1.000330,12584143003
2022-05-15,1.000339,1.003037,0.998940,1.000460,1.000460,8030119560
2022-05-16,1.000471,1.002737,0.998570,0.999532,0.999532,8968771547
2022-05-17,0.999582,1.002620,0.998904,1.001801,1.001801,6186204948
2022-05-18,1.001822,1.002772,0.998683,1.001879,1.001879,5858486740
2022-05-19,1.002008,1.002568,0.999111,1.000839,1.000839,7128537722
2022-05-20,1.000857,1.002492,0.998990,1.000234,1.000234,6067105966
2022-05-21,1.000320,1.002100,0.998629,1.000500,1.000500,3634961961
2022-05-22,1.000534,1.002316,0.998959,1.001496,1.001496,5907534747
2022-05-23,1.001499,1.002323,0.998847,1.000629,1.000629,7517762774
2022-05-24,1.000641,1.002192,0.998613,0.999567,0.999567,5019654714
2022-05-25,0.999584,1.001940,0.998617,0.999034,0.999034,5322160200
2022-05-26,0.999045,1.002272,0.998713,1.000228,1.000228,6748914760
2022-05-27,1.000261,1.001944,0.998709,1.000368,1.000368,6183776987
2022-05-28,0.999929,1.002405,0.998748,1.001823,1.001823,3098142540
2022-05-29,1.001804,1.002733,0.998843,1.001082,1.001082,3122801413
2022-05-30,1.001050,1.002113,0.998828,1.001566,1.001566,6441103252
2022-05-31,1.001568,1.002187,0.998434,1.000010,1.000010,6529694566
2022-06-01,1.000027,1.002332,0.998620,1.000759,1.000759,7440818455
2022-06-02,1.000761,1.002126,0.998396,1.001968,1.001968,4667275756
2022-06-03,1.001978,1.002480,0.998935,0.999836,0.999836,3966721500
2022-06-04,0.999885,1.002648,0.998697,1.000861,1.000861,2498217083
2022-06-05,1.000860,1.002909,0.998716,1.002103,1.002103,2621810817
2022-06-06,1.002125,1.002518,0.998564,1.001228,1.001228,4632444530
2022-06-07,1.001215,1.002380,0.998413,0.999621,0.999621,6836652197
2022-06-08,0.999512,1.002417,0.998614,1.001027,1.001027,5155728236
2022-06-09,1.001032,1.002368,0.998503,1.001330,1.001330,4601384135
2022-06-10,1.001321,1.002771,0.998607,0.999173,0.999173,4695773420
2022-06-11,0.999187,1.001618,0.998572,1.000670,1.000670,4425812631
2022-06-12,1.000723,1.002890,0.998743,1.000906,1.000906,5731962347
2022-06-13,1.000911,1.002738,0.998537,1.000712,1.000712,11519495508
2022-06-14,1.000721,1.002951,0.998718,1.001595,1.001595,7615185011
2022-06-15,1.001555,1.003085,0.998549,0.999880,0.999880,8552268807
2022-06-16,0.999862,1.002712,0.998912,0.999597,0.999597,5406986455
2022-06-17,0.999646,1.002957,0.998904,1.000492,1.000492,5008980631
2022-06-18,1.000454,1.003047,0.998555,1.000207,1.000207,6605490616
2022-06-19,1.000188,1.002857,0.999129,0.999892,0.999892,5147188373
2022-06-20,0.999887,1.003093,0.998719,0.999267,0.999267,5135462320
2022-06-21,0.999250,1.002528,0.998396,0.998707,0.998707,5013113114
2022-06-22,0.998730,1.002091,0.998555,1.000220,1.000220,4345858266
2022-06-23,1.000225,1.002084,0.998694,0.999304,0.999304,4346458681
2022-06-24,0.999307,1.002475,0.998813,1.001702,1.001702,4690445711
2022-06-25,1.001742,1.002119,0.998824,1.000150,1.000150,3310831487
2022-06-26,1.000174,1.002512,0.998108,1.000705,1.000705,3392421095
2022-06-27,1.000685,1.001892,0.998370,0.999397,0.999397,4737933957
2022-06-28,0.999364,1.003026,0.998777,0.999807,0.999807,4847156949
2022-06-29,0.999795,1.002612,0.998860,1.000421,1.000421,6188661840
2022-06-30,1.000437,1.002777,0.998631,1.001414,1.001414,6202546205
2022-07-01,1.001441,1.002391,0.998651,1.001781,1.001781,5260378585
2022-07-02,1.001802,1.002728,0.998796,1.000318,1.000318,3881252912
2022-07-03,1.000315,1.002807,0.998666,0.999287,0.999287,3731656763
